Date,Meal,Canteen_Section,Food_Category,Waste_Weight_kg,Unit_Price_per_kg,Cost_Loss
2025-07-30,Dinner,B,Vegetables,1.5,3.0,4.5
2025-06-15,Breakfast,B,Rice,3.69,2.0,7.38
2025-07-29,Breakfast,A,Soup,1.54,1.5,2.31
2025-07-17,Breakfast,A,Soup,1.81,1.5,2.71
2025-07-03,Dinner,D,Rice,4.69,2.0,9.38
2025-07-05,Dinner,C,Rice,0.38,2.0,0.76
2025-07-12,Lunch,A,Meat,2.0,8.0,16.0
2025-07-05,Breakfast,B,Soup,0.85,1.5,1.27
2025-06-17,Dinner,A,Vegetables,4.82,3.0,14.46
2025-07-09,Breakfast,B,Vegetables,0.85,3.0,2.55
2025-07-26,Lunch,A,Meat,0.24,8.0,1.92
2025-06-15,Lunch,A,Soup,3.76,1.5,5.64
2025-08-10,Dinner,C,Soup,0.16,1.5,0.24
2025-08-10,Lunch,C,Soup,4.35,1.5,6.52
2025-07-17,Lunch,A,Rice,1.11,2.0,2.22
2025-07-28,Breakfast,B,Rice,3.69,2.0,7.38
2025-06-22,Lunch,C,Vegetables,4.54,3.0,13.62
2025-06-24,Lunch,A,Vegetables,0.36,3.0,1.08
2025-06-21,Lunch,D,Soup,2.31,1.5,3.46
2025-08-09,Lunch,C,Soup,0.75,1.5,1.12
2025-07-25,Dinner,B,Meat,1.66,8.0,13.28
2025-07-08,Lunch,B,Rice,1.73,2.0,3.46
2025-06-20,Breakfast,B,Soup,0.77,1.5,1.16
2025-07-09,Lunch,A,Rice,3.24,2.0,6.48
2025-06-27,Breakfast,D,Soup,3.84,1.5,5.76
2025-07-11,Dinner,D,Vegetables,3.72,3.0,11.16
2025-07-11,Dinner,A,Vegetables,4.71,3.0,14.13
2025-08-05,Lunch,A,Meat,0.61,8.0,4.88
2025-06-20,Dinner,B,Soup,2.67,1.5,4.0
2025-06-26,Lunch,C,Rice,3.66,2.0,7.32
2025-07-17,Lunch,A,Vegetables,0.39,3.0,1.17
2025-07-14,Lunch,B,Vegetables,3.88,3.0,11.64
2025-07-15,Lunch,C,Rice,1.7,2.0,3.4
2025-07-18,Dinner,A,Meat,4.3,8.0,34.4
2025-07-12,Lunch,B,Vegetables,2.9,3.0,8.7
2025-06-26,Dinner,D,Meat,3.22,8.0,25.76
2025-07-01,Lunch,A,Vegetables,2.71,3.0,8.13
2025-07-03,Breakfast,D,Rice,2.7,2.0,5.4
2025-06-25,Lunch,B,Soup,4.91,1.5,7.37
2025-07-14,Lunch,C,Rice,2.55,2.0,5.1
2025-06-20,Dinner,D,Soup,2.6,1.5,3.9
2025-07-16,Dinner,B,Rice,0.66,2.0,1.32
2025-07-15,Breakfast,D,Rice,3.11,2.0,6.22
2025-07-30,Lunch,A,Vegetables,4.58,3.0,13.74
2025-06-22,Breakfast,D,Soup,2.1,1.5,3.15
2025-07-16,Lunch,B,Rice,3.46,2.0,6.92
2025-07-07,Dinner,D,Soup,4.84,1.5,7.26
2025-07-30,Breakfast,C,Rice,4.06,2.0,8.12
2025-06-17,Lunch,D,Vegetables,3.94,3.0,11.82
2025-07-01,Breakfast,B,Rice,0.77,2.0,1.54
2025-07-08,Dinner,D,Soup,2.86,1.5,4.29
2025-07-27,Lunch,C,Meat,4.97,8.0,39.76
2025-07-30,Breakfast,D,Meat,4.99,8.0,39.92
2025-08-01,Breakfast,D,Soup,1.99,1.5,2.98
2025-08-04,Breakfast,A,Vegetables,0.28,3.0,0.84
2025-07-15,Dinner,B,Vegetables,1.56,3.0,4.68
2025-08-08,Dinner,A,Meat,0.62,8.0,4.96
2025-07-22,Dinner,C,Vegetables,2.52,3.0,7.56
