Waste_Weight_kg,Unit_Price_per_kg,Cost_Loss,Day,Month,Meal_Dinner,Meal_Lunch,Food_Category_Rice,Food_Category_Soup,Food_Category_Vegetables,Canteen_Section_B,Canteen_Section_C,Canteen_Section_D,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
1.5,3.0,4.5,30,7,True,False,False,False,True,True,False,False,False,False,False,False,False,True
3.69,2.0,7.38,15,6,False,False,True,False,False,True,False,False,False,False,True,False,False,False
1.54,1.5,2.31,29,7,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1.81,1.5,2.71,17,7,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4.69,2.0,9.38,3,7,True,False,True,False,False,False,False,True,False,False,False,True,False,False
0.38,2.0,0.76,5,7,True,False,True,False,False,False,True,False,False,True,False,False,False,False
2.0,8.0,16.0,12,7,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0.85,1.5,1.27,5,7,False,False,False,True,False,True,False,False,False,True,False,False,False,False
4.82,3.0,14.46,17,6,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0.85,3.0,2.55,9,7,False,False,False,False,True,True,False,False,False,False,False,False,False,True
0.24,8.0,1.92,26,7,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3.76,1.5,5.64,15,6,False,True,False,True,False,False,False,False,False,False,True,False,False,False
0.16,1.5,0.24,10,8,True,False,False,True,False,False,True,False,False,False,True,False,False,False
4.35,1.5,6.52,10,8,False,True,False,True,False,False,True,False,False,False,True,False,False,False
1.11,2.0,2.22,17,7,False,True,True,False,False,False,False,False,False,False,False,True,False,False
3.69,2.0,7.38,28,7,False,False,True,False,False,True,False,False,True,False,False,False,False,False
4.54,3.0,13.62,22,6,False,True,False,False,True,False,True,False,False,False,True,False,False,False
0.36,3.0,1.08,24,6,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2.31,1.5,3.46,21,6,False,True,False,True,False,False,False,True,False,True,False,False,False,False
0.75,1.5,1.12,9,8,False,True,False,True,False,False,True,False,False,True,False,False,False,False
1.66,8.0,13.28,25,7,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1.73,2.0,3.46,8,7,False,True,True,False,False,True,False,False,False,False,False,False,True,False
0.77,1.5,1.16,20,6,False,False,False,True,False,True,False,False,False,False,False,False,False,False
3.24,2.0,6.48,9,7,False,True,True,False,False,False,False,False,False,False,False,False,False,True
3.84,1.5,5.76,27,6,False,False,False,True,False,False,False,True,False,False,False,False,False,False
3.72,3.0,11.16,11,7,True,False,False,False,True,False,False,True,False,False,False,False,False,False
4.71,3.0,14.13,11,7,True,False,False,False,True,False,False,False,False,False,False,False,False,False
0.61,8.0,4.88,5,8,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2.67,1.5,4.0,20,6,True,False,False,True,False,True,False,False,False,False,False,False,False,False
3.66,2.0,7.32,26,6,False,True,True,False,False,False,True,False,False,False,False,True,False,False
0.39,3.0,1.17,17,7,False,True,False,False,True,False,False,False,False,False,False,True,False,False
3.88,3.0,11.64,14,7,False,True,False,False,True,True,False,False,True,False,False,False,False,False
1.7,2.0,3.4,15,7,False,True,True,False,False,False,True,False,False,False,False,False,True,False
4.3,8.0,34.4,18,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2.9,3.0,8.7,12,7,False,True,False,False,True,True,False,False,False,True,False,False,False,False
3.22,8.0,25.76,26,6,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2.71,3.0,8.13,1,7,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2.7,2.0,5.4,3,7,False,False,True,False,False,False,False,True,False,False,False,True,False,False
4.91,1.5,7.37,25,6,False,True,False,True,False,True,False,False,False,False,False,False,False,True
2.55,2.0,5.1,14,7,False,True,True,False,False,False,True,False,True,False,False,False,False,False
2.6,1.5,3.9,20,6,True,False,False,True,False,False,False,True,False,False,False,False,False,False
0.66,2.0,1.32,16,7,True,False,True,False,False,True,False,False,False,False,False,False,False,True
3.11,2.0,6.22,15,7,False,False,True,False,False,False,False,True,False,False,False,False,True,False
4.58,3.0,13.74,30,7,False,True,False,False,True,False,False,False,False,False,False,False,False,True
2.1,1.5,3.15,22,6,False,False,False,True,False,False,False,True,False,False,True,False,False,False
3.46,2.0,6.92,16,7,False,True,True,False,False,True,False,False,False,False,False,False,False,True
4.84,1.5,7.26,7,7,True,False,False,True,False,False,False,True,True,False,False,False,False,False
4.06,2.0,8.12,30,7,False,False,True,False,False,False,True,False,False,False,False,False,False,True
